Index No.,Region,Country,Port Name,Field4,Field5,Combo353,Field7,Field8,Combo214,Publication,Chart,Harbor Size,Harbor Type,Shelter,Tide,Swell,Ice,Other,Overhead Limits,Channel,Anchorage,Cargo Pier,Oil Terminal,Tide,Maximum Size,Good Holding,Turning Area,1st Port of Entry,U.S.,ETA Message,Compulsory,Available,Local Assistance,Advisable,Tug Salvage,Tug Assistance,Pratique,Derat Certificate,Other,Telephone,Telegraph,Radio,Radio Telephone,Air,Rail,Wharves,Anchor,Med. Moor,Beach Moor,Ice Moor,Medical Facilities,Garbage Disposal,Degauss,Dirty Ballast,Fixed,Mobile,Floating,100 Tons Plus,50-100 Tons,25-49 Tons,0-24 Tons,Longshore,Electrical,Steam,Nav Equipment,Electric Repair,Provisions,Water,Fuel Oil,Diesel Oil,Deck,Engine,Repair,Drydock,Railway
70,60,IS,KEFLAVIK,64,0,N,22,33,W,181,38604,V,OR,F,N,N,Y,Y,,A,A,H,,5,,Y,Y,N,N,Y,Y,Y,,,N,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,,N,N,,Y,,,,,Y,Y,,,,,Y,Y,Y,Y,Y,Y,C,,S
75,60,IS,STRAUMSVIK,64,3,N,22,3,W,181,38604,V,CN,F,N,N,,Y,N,,A,,,0,L,Y,Y,N,N,N,,Y,,,,,,,,Y,,,,Y,,Y,Y,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,
80,60,IS,HAFNARFJORDUR,64,4,N,21,57,W,181,38604,V,CN,F,N,Y,N,N,,L,J,L,J,4,L,Y,,Y,,Y,Y,Y,,,,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,,Y,,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,B,,M
90,60,IS,SKERJAFJORDUR,64,9,N,22,1,W,181,38603,V,CN,G,N,N,N,Y,,M,M,P,M,4,L,Y,,,,,Y,Y,,,,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,,N,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,C,,
100,60,IS,REYKJAVIK,64,9,N,21,56,W,181,38603,M,CB,G,Y,N,N,Y,,L,G,L,H,4,L,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,,,,,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,B,L,L
105,60,IS,GRUNDARTANGI,64,16,N,22,0,W,181,38606,M,CB,G,N,N,N,N,,H,F,H,,5,L,Y,,N,N,N,Y,Y,,,,Y,,,,Y,Y,Y,,Y,,Y,,,,,,Y,N,Y,,Y,,,,,,Y,,,,,Y,Y,Y,Y,,,C,,
160,60,IS,BILDUDALUR,65,41,N,23,36,W,181,38030,V,CN,F,N,Y,Y,Y,N,N,J,N,,3,,Y,,N,N,N,,,,,,,,,,Y,,,,,,Y,,,,,Y,,N,N,,,,,,,Y,,Y,,,,Y,Y,N,N,N,N,C,,
170,60,IS,THINGEYRI,65,53,N,23,29,W,181,38030,V,CN,E,N,N,Y,Y,N,M,C,N,,3,,Y,,N,N,N,,,,,,,Y,,,Y,,,,,,Y,,,,,Y,,N,N,,,,,,,Y,,Y,,,,Y,Y,N,N,N,N,C,,
185,60,IS,BOLUNGAVIK,66,10,N,23,14,W,181,38690,V,CB,F,N,,Y,,,A,,M,,0,L,,,N,N,N,,,,,,,,,,Y,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
190,60,IS,ISAFJORDUR,66,4,N,23,7,W,181,38030,V,CN,G,N,N,Y,,,L,H,L,M,2,L,Y,Y,Y,N,Y,Y,Y,,,N,Y,Y,Y,,N,Y,Y,Y,Y,,Y,,,,,Y,Y,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,B,,M
