Index.No.,Region,Country,Port.Name,latdeg,latmin,latdir,londeg,lonmin,londir,Publication,Chart,Harbor.Size,Harbor.Type,Shelter,Tide,Swell,Ice,Other,Overhead.Limits,Channel,Anchorage,Cargo.Pier,Oil.Terminal,Tide.1,Maximum.Size,Good.Holding,Turning.Area,X1st.Port.of.Entry,U.S.,ETA.Message,Compulsory,Available,Local.Assistance,Advisable,Tug.Salvage,Tug.Assistance,Pratique,Derat.Certificate,Other.1,Telephone,Telegraph,Radio,Radio.Telephone,Air,Rail,Wharves,Anchor,Med..Moor,Beach.Moor,Ice.Moor,Medical.Facilities,Garbage.Disposal,Degauss,Dirty.Ballast,Fixed,Mobile,Floating,X100.Tons.Plus,X50.100.Tons,X25.49.Tons,X0.24.Tons,Longshore,Electrical,Steam,Nav.Equipment,Electric.Repair,Provisions,Water,Fuel.Oil,Diesel.Oil,Deck,Engine,Repair,Drydock,Railway,latlon,lat,lon
38505,38340,ES,ISLAS  COLUMBRETES,0,0,,0,0,,131,52080,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 0  0 0 ,NA,NA
56328,56327,QM,MIDWAY ISLAND,28,11,N,177,22,W,CP07,19480,V,CB,G,N,Y,N,Y,,J,A,L,,1,,,,,Y,Y,Y,,,Y,,Y,,,,Y,Y,Y,Y,Y,N,Y,,,,,Y,Y,,,,Y,,,,Y,Y,Y,Y,Y,N,N,,,,,N,N,D,,,28 11 N 177 22 W,28.1833333333333,-177.366666666667
20140,20095,US,ADAK NAVAL AIR STATION,51,52,N,176,38,W,CP09,16471,S,CB,F,N,Y,N,Y,N,A,J,J,J,4,L,,Y,,,Y,,,,Y,,,Y,,,Y,,Y,Y,Y,,Y,Y,,,,Y,Y,,,,,,,,,,N,N,N,Y,Y,Y,Y,Y,Y,N,N,,,,51 52 N 176 38 W,51.8666666666667,-176.633333333333
55650,55640,WF,MATA-UTU,13,17,S,176,8,W,126,83495,V,OR,F,N,N,N,Y,N,M,J,O,,4,M,Y,Y,,,,,,,,,,,,,,,Y,,,,,Y,,,,Y,,,,N,,,,,,,,,,,,Y,Y,,,,,D,,,13 17 S 176 8 W,-13.2833333333333,-176.133333333333
55590,55575,TO,NUKU ALOFA,21,8,S,175,12,W,126,83567,V,CN,G,Y,Y,N,N,N,J,A,G,,1,M,Y,,Y,N,Y,Y,Y,,Y,N,N,,,Y,,,Y,Y,Y,,Y,,,,,Y,Y,,N,,,,,,,,,,,,,,Y,,Y,,,C,,,21 8 S 175 12 W,-21.1333333333333,-175.2
55600,55575,TO,PANGAI,19,48,S,174,21,W,126,83560,V,CN,F,N,N,N,Y,N,N,A,P,,2,M,,,,,Y,,N,,,,Y,,,Y,,,Y,,,,,Y,,,,Y,Y,,N,,,,,,,,,,,,,Y,Y,Y,,,,C,,,19 48 S 174 21 W,-19.8,-174.35
20135,20095,US,PALISADES POINT,52,14,N,174,10,W,CP09,16490,V,CN,F,N,N,N,,,,,M,,3,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 14 N 174 10 W,52.2333333333333,-174.166666666667
55610,55575,TO,NEIAFU,18,39,S,173,59,W,126,83555,V,CN,G,N,N,N,Y,N,N,A,L,,1,M,Y,Y,,,Y,Y,Y,,,N,Y,,,Y,,,Y,,Y,,Y,Y,Y,,,Y,Y,,Y,N,N,N,,,,,,,,,,Y,Y,Y,,,,,,,18 39 S 173 59 W,-18.65,-173.983333333333
62640,62530,RU,PROVIDENIYA,64,25,N,173,14,W,155,96645,V,CN,G,N,N,Y,Y,N,A,A,K,L,2,,,,,,Y,Y,Y,,Y,,Y,,,,Y,Y,Y,Y,Y,N,Y,,Y,,,,,,Y,Y,Y,,,,Y,Y,Y,,,,,Y,Y,Y,Y,,,C,,,64 25 N 173 14 W,64.4166666666667,-173.233333333333
55670,55665,WS,APIA,13,49,S,171,46,W,126,83476/3,V,CN,G,Y,Y,N,N,,J,A,L,J,1,L,,Y,,,Y,Y,Y,,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,N,Y,,,,,Y,Y,,N,,Y,,,,,Y,Y,,,,,,Y,Y,,Y,Y,C,,S,13 49 S 171 46 W,-13.8166666666667,-171.766666666667
